theme_column,description,videos_flagged,share_of_valid_videos,top_matched_expressions
health,"Health, nutrition, nutrients, disease prevention, diet quality, or dietary restriction framing.",1556,0.3749,health / healthy (820); nutrition / diet (655); protein (230); gluten free (206); vitamins / supplements (150); whole food plant based / WFPB (87); oil free (63); vitamin B12 (63); sugar free (50); diabetes / heart disease (46); cholesterol (32); detox / cleanse (14)
environment,"Environment, climate, sustainability, zero-waste, emissions, or eco-friendly framing.",230,0.0554,environment / planet (97); zero waste (62); sustainable / sustainability (42); eco friendly (19); climate change (17); carbon / emissions (15)
taste,"Taste, flavor, deliciousness, taste tests, cravings, or negative taste reactions.",1130,0.2723,delicious / yummy (691); taste / flavor (501); craving / satisfy (79); taste test (72); bad taste / not tasty (12)
animal_ethics,"Animal welfare, animal rights, cruelty-free, slaughter, compassion, or ethics framing.",232,0.0559,animals (201); compassion / ethics (24); animal rights / welfare (20); cruelty / suffering (19); slaughter / killing (13); cruelty free (10)
recipe_cooking,"Recipes, cooking, baking, ingredients, meals, dishes, or homemade preparation.",2165,0.5217,recipe (1623); meal / dish (778); cook / cooking (707); ingredients (663); homemade (211); bake / baking (194)
convenience_easy,"Ease, speed, beginner-friendliness, meal prep, one-pot/no-bake, or time-saving framing.",1113,0.2682,easy / simple (776); quick / fast (299); one pot / minimal dishes (146); meal prep (94); time saving (72); beginner friendly (69); under 30 minutes (15)
fitness_weight,"Fitness, sport, bodybuilding, muscle, calories/macros, transformation, or weight loss.",327,0.0788,fitness / workout (159); weight loss / slimming (89); athlete / sport (54); calories / macros (34); transformation (28); bodybuilding / muscle (23)
challenge_transition,"Trying veganism, starting/going vegan, beginner guides, first-time videos, or vegan challenges.",317,0.0764,go vegan / become vegan (141); vegan for a day/week/month (124); vegan challenge (58); first time (36); beginner guide (14)
product_review_alternatives,"Plant-based substitutes, dairy/meat alternatives, brand/product reviews, hauls, or taste tests.",815,0.1964,dairy substitute / alternative (306); tofu / tempeh / seitan (201); meat substitute / alternative (150); brand alternative (121); review / product test (92); taste test (71); haul / shopping products (56)
budget_shopping,"Budget, price, grocery shopping, supermarkets, discount retailers, or affordability.",407,0.0981,grocery / shopping (135); budget / cheap (122); expensive / price (114); discount retailer (71); supermarket (53)
restaurant_travel,"Restaurants, cafes, vegan options while traveling, city guides, vlogs, or eating out.",469,0.113,vlog / day in life (204); restaurant / cafe (190); travel / city guide (139); vegan options (21)
