country,video_count,health_count,sustainability_count,environment_count,hedonism_count,animal_welfare_count,health_mentioned,sustainability_mentioned,environment_mentioned,hedonism_mentioned,animal_welfare_mentioned
Austria,265,165,75,71,105,39,0.24150943396226415,0.13584905660377358,0.12452830188679245,0.20754716981132076,0.07169811320754717
Belgium,330,260,95,46,106,83,0.2515151515151515,0.13333333333333333,0.07878787878787878,0.18787878787878787,0.07575757575757576
Denmark,278,202,129,71,73,49,0.25539568345323743,0.21942446043165467,0.11870503597122302,0.16906474820143885,0.07913669064748201
France,300,495,170,145,105,122,0.43666666666666665,0.24333333333333335,0.22666666666666666,0.16,0.16666666666666666
Italy,363,396,82,54,279,53,0.3526170798898072,0.1349862258953168,0.10192837465564739,0.36363636363636365,0.07988980716253444
Netherlands,347,384,133,151,146,169,0.3112391930835735,0.21037463976945245,0.15561959654178675,0.21613832853025935,0.10951008645533142
Romania,292,288,108,64,80,70,0.24315068493150685,0.1643835616438356,0.1095890410958904,0.1643835616438356,0.06164383561643835
Spain,347,321,95,101,154,131,0.30835734870317005,0.15273775216138327,0.12103746397694524,0.2132564841498559,0.09221902017291066
United Kingdom,321,341,176,249,124,177,0.37694704049844235,0.2336448598130841,0.2523364485981308,0.1838006230529595,0.20249221183800623
