country,Year,video_count,health_count,sustainability_count,environment_count,hedonism_count,animal_welfare_count,health_mentioned,sustainability_mentioned,environment_mentioned,hedonism_mentioned,animal_welfare_mentioned
Austria,2018,62,46,29,16,22,6,0.3225806451612903,0.12903225806451613,0.1774193548387097,0.1774193548387097,0.04838709677419355
Austria,2019,93,47,23,11,35,10,0.22580645161290322,0.11827956989247312,0.07526881720430108,0.20430107526881722,0.06451612903225806
Austria,2020,110,72,23,44,48,23,0.20909090909090908,0.15454545454545454,0.13636363636363635,0.22727272727272727,0.09090909090909091
Belgium,2018,75,45,19,5,29,44,0.24,0.09333333333333334,0.05333333333333334,0.22666666666666666,0.13333333333333333
Belgium,2019,100,107,34,15,30,16,0.28,0.14,0.05,0.19,0.08
Belgium,2020,155,108,42,26,47,23,0.23870967741935484,0.14838709677419354,0.10967741935483871,0.16774193548387098,0.04516129032258064
Denmark,2018,70,57,30,16,29,11,0.24285714285714285,0.21428571428571427,0.1,0.18571428571428572,0.12857142857142856
Denmark,2019,95,88,40,31,18,14,0.3157894736842105,0.2,0.12631578947368421,0.14736842105263157,0.07368421052631578
Denmark,2020,113,57,59,24,26,24,0.21238938053097345,0.23893805309734514,0.12389380530973451,0.17699115044247787,0.05309734513274336
France,2018,86,142,42,27,49,67,0.4069767441860465,0.19767441860465115,0.22093023255813954,0.16279069767441862,0.27906976744186046
France,2019,101,151,69,53,20,20,0.49504950495049505,0.31683168316831684,0.25742574257425743,0.16831683168316833,0.1188118811881188
France,2020,113,202,59,65,36,35,0.40707964601769914,0.21238938053097345,0.20353982300884957,0.1504424778761062,0.12389380530973451
Italy,2018,96,89,15,18,104,16,0.3333333333333333,0.10416666666666667,0.14583333333333334,0.40625,0.09375
Italy,2019,102,141,34,20,61,17,0.4215686274509804,0.17647058823529413,0.09803921568627451,0.3333333333333333,0.09803921568627451
Italy,2020,165,166,33,16,114,20,0.3212121212121212,0.12727272727272726,0.07878787878787878,0.3575757575757576,0.06060606060606061
Netherlands,2018,82,103,12,23,53,48,0.36585365853658536,0.10975609756097561,0.17073170731707318,0.2073170731707317,0.14634146341463414
Netherlands,2019,108,123,40,75,54,83,0.32407407407407407,0.18518518518518517,0.19444444444444445,0.3055555555555556,0.12962962962962962
Netherlands,2020,157,158,81,53,39,38,0.27388535031847133,0.2802547770700637,0.12101910828025478,0.1592356687898089,0.07643312101910828
Romania,2018,67,47,14,13,12,8,0.2835820895522388,0.11940298507462686,0.13432835820895522,0.13432835820895522,0.07462686567164178
Romania,2019,103,93,53,20,20,17,0.18446601941747573,0.1553398058252427,0.0970873786407767,0.13592233009708737,0.05825242718446602
Romania,2020,122,148,41,31,48,45,0.27049180327868855,0.19672131147540983,0.10655737704918032,0.20491803278688525,0.05737704918032787
Spain,2018,76,63,17,24,21,36,0.2894736842105263,0.10526315789473684,0.13157894736842105,0.14473684210526316,0.11842105263157894
Spain,2019,116,127,34,28,67,22,0.3448275862068966,0.1896551724137931,0.1206896551724138,0.2672413793103448,0.07758620689655173
Spain,2020,155,131,44,49,66,73,0.2903225806451613,0.14838709677419354,0.11612903225806452,0.2064516129032258,0.09032258064516129
United Kingdom,2018,66,65,19,30,47,37,0.4393939393939394,0.16666666666666666,0.22727272727272727,0.19696969696969696,0.22727272727272727
United Kingdom,2019,115,94,88,110,32,85,0.3739130434782609,0.3217391304347826,0.2956521739130435,0.16521739130434782,0.25217391304347825
United Kingdom,2020,140,182,69,109,45,55,0.35,0.19285714285714287,0.22857142857142856,0.19285714285714287,0.15
